2016-10-11 14:42:09 status unpacked liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2016-10-11 14:42:09 install libmount1:i386 <none> 2.20.1-5.1ubuntu20
2016-10-11 14:42:09 status half-installed libmount1:i386 2.20.1-5.1ubuntu20
2016-10-11 14:42:09 status unpacked libmount1:i386 2.20.1-5.1ubuntu20
2016-10-11 14:42:09 status unpacked libmount1:i386 2.20.1-5.1ubuntu20
2016-10-11 14:42:09 install libncurses5:i386 <none> 5.9+20140118-1ubuntu1
2016-10-11 14:42:09 status half-installed libncurses5:i386 5.9+20140118-1ubuntu1
2016-10-11 14:42:09 status unpacked libncurses5:i386 5.9+20140118-1ubuntu1
2016-10-11 14:42:09 status unpacked libncurses5:i386 5.9+20140118-1ubuntu1
2016-10-11 14:42:09 install libncursesw5:i386 <none> 5.9+20140118-1ubuntu1
2016-10-11 14:42:09 status half-installed libncursesw5:i386 5.9+20140118-1ubuntu1
2016-10-11 14:42:09 status unpacked libncursesw5:i386 5.9+20140118-1ubuntu1
2016-10-11 14:42:09 status unpacked libncursesw5:i386 5.9+20140118-1ubuntu1
2016-10-11 14:42:09 install libnih-dbus1:i386 <none> 1.0.3-4ubuntu25
2016-10-11 14:42:09 status half-installed libnih-dbus1:i386 1.0.3-4ubuntu25
2016-10-11 14:42:09 status unpacked libnih-dbus1:i386 1.0.3-4ubuntu25
2016-10-11 14:42:09 status unpacked libnih-dbus1:i386 1.0.3-4ubuntu25
2016-10-11 14:42:09 install libnih1:i386 <none> 1.0.3-4ubuntu25
2016-10-11 14:42:09 status half-installed libnih1:i386 1.0.3-4ubuntu25
2016-10-11 14:42:09 status unpacked libnih1:i386 1.0.3-4ubuntu25
2016-10-11 14:42:09 status unpacked libnih1:i386 1.0.3-4ubuntu25
2016-10-11 14:42:09 install libpam-modules:i386 <none> 1.1.8-1ubuntu2
2016-10-11 14:42:09 status half-installed libpam-modules:i386 1.1.8-1ubuntu2
2016-10-11 14:42:09 status unpacked libpam-modules:i386 1.1.8-1ubuntu2
2016-10-11 14:42:09 status unpacked libpam-modules:i386 1.1.8-1ubuntu2
2016-10-11 14:42:09 install libpam-modules-bin:i386 <none> 1.1.8-1ubuntu2
2016-10-11 14:42:09 status half-installed libpam-modules-bin:i386 1.1.8-1ubuntu2
2016-10-11 14:42:09 status unpacked libpam-modules-bin:i386 1.1.8-1ubuntu2
2016-10-11 14:42:09 status unpacked libpam-modules-bin:i386 1.1.8-1ubuntu2
2016-10-11 14:42:09 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2016-10-11 14:42:09 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2016-10-11 14:42:09 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2016-10-11 14:42:09 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2016-10-11 14:42:09 install libpam0g:i386 <none> 1.1.8-1ubuntu2
2016-10-11 14:42:09 status half-installed libpam0g:i386 1.1.8-1ubuntu2
2016-10-11 14:42:09 status unpacked libpam0g:i386 1.1.8-1ubuntu2
2016-10-11 14:42:09 status unpacked libpam0g:i386 1.1.8-1ubuntu2
2016-10-11 14:42:09 install libpcre3:i386 <none> 1:8.31-2ubuntu2
2016-10-11 14:42:09 status half-installed libpcre3:i386 1:8.31-2ubuntu2
2016-10-11 14:42:09 status unpacked libpcre3:i386 1:8.31-2ubuntu2
2016-10-11 14:42:09 status unpacked libpcre3:i386 1:8.31-2ubuntu2
2016-10-11 14:42:09 install libplymouth2:i386 <none> 0.8.8-0ubuntu17
2016-10-11 14:42:09 status half-installed libplymouth2:i386 0.8.8-0ubuntu17
2016-10-11 14:42:10 status unpacked libplymouth2:i386 0.8.8-0ubuntu17
2016-10-11 14:42:10 status unpacked libplymouth2:i386 0.8.8-0ubuntu17
2016-10-11 14:42:10 install libpng12-0:i386 <none> 1.2.50-1ubuntu2
2016-10-11 14:42:10 status half-installed libpng12-0:i386 1.2.50-1ubuntu2
2016-10-11 14:42:10 status unpacked libpng12-0:i386 1.2.50-1ubuntu2
2016-10-11 14:42:10 status unpacked libpng12-0:i386 1.2.50-1ubuntu2
2016-10-11 14:42:10 install libprocps3:i386 <none> 1:3.3.9-1ubuntu2
2016-10-11 14:42:10 status half-installed libprocps3:i386 1:3.3.9-1ubuntu2
2016-10-11 14:42:10 status unpacked libprocps3:i386 1:3.3.9-1ubuntu2
2016-10-11 14:42:10 status unpacked libprocps3:i386 1:3.3.9-1ubuntu2
2016-10-11 14:42:10 install libselinux1:i386 <none> 2.2.2-1
2016-10-11 14:42:10 status half-installed libselinux1:i386 2.2.2-1
2016-10-11 14:42:10 status unpacked libselinux1:i386 2.2.2-1
2016-10-11 14:42:10 status unpacked libselinux1:i386 2.2.2-1
2016-10-11 14:42:10 install libsemanage-common:all <none> 2.2-1
2016-10-11 14:42:10 status half-installed libsemanage-common:all 2.2-1
2016-10-11 14:42:10 status unpacked libsemanage-common:all 2.2-1
2016-10-11 14:42:10 status unpacked libsemanage-common:all 2.2-1
2016-10-11 14:42:10 install libsemanage1:i386 <none> 2.2-1
2016-10-11 14:42:10 status half-installed libsemanage1:i386 2.2-1
2016-10-11 14:42:10 status unpacked libsemanage1:i386 2.2-1
2016-10-11 14:42:10 status unpacked libsemanage1:i386 2.2-1
2016-10-11 14:42:10 install libsepol1:i386 <none> 2.2-1
2016-10-11 14:42:10 status half-installed libsepol1:i386 2.2-1
2016-10-11 14:42:10 status unpacked libsepol1:i386 2.2-1
